!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 18:02:30
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99842829,0.61553764,0.0020735406,-137.73335,0.0066248216,115.57236,0.99842805,0.79189217
508995.5,1.0051973,-5.6976438,0.0016368013,-90.274605,0.01560999,113.6663,1.0229306,-6.8817797
1008991,0.99780929,-11.321648,0.0036989516,-125.58606,0.020693047,-160.53,1.0203104,-14.610825
1508986.5,0.99898285,-16.799177,0.00190664,81.592392,0.011677952,-142.47107,1.0029291,-24.179619
2008982,0.99471182,-22.457611,0.00039405515,-125.28807,0.004636616,-167.81766,0.98054624,-31.979963
2508977.5,0.99221587,-28.057184,0.0019286656,12.577468,0.0071051978,-177.01131,0.99805832,-40.604919
3008973,0.99363554,-33.737869,0.0016064045,-65.228508,0.018502049,47.298145,0.97391909,-48.320473
3508968.5,0.98948181,-39.037685,0.0021714331,166.89555,0.032988712,-97.44046,0.97724885,-56.540512
4008964,0.99044657,-44.655048,0.0018789453,27.338524,0.010233652,-70.78582,0.92703944,-61.83231
4508959.5,0.98711807,-50.645119,0.00079707417,-6.7850223,0.019128673,113.41038,0.90032268,-68.803467
5008955,0.98644596,-55.960064,0.00032205798,-80.018517,0.029108858,14.05243,0.89321488,-76.045815
5508950.5,0.98224789,-61.44191,0.00041602858,121.85906,0.0083653731,-139.96974,0.89060068,-86.105827
6008946,0.9819662,-67.039627,0.00093052979,90.319099,0.036565971,-15.516085,0.86701745,-91.23455
6508941.5,0.97583663,-72.847321,0.00097510626,49.100426,0.031591415,-9.9082966,0.88929325,-98.310699
7008937,0.97648484,-78.455544,0.00037847567,-148.487,0.042255279,-25.174999,0.87290329,-107.88877
7508932.5,0.96923125,-84.024895,0.0010120539,157.03441,0.012286304,69.107101,0.83460391,-112.3466
8008928,0.96897525,-89.520042,0.0008195652,-152.0616,0.029015074,-93.331184,0.84559703,-118.72687
8508923.5,0.96050388,-95.174942,0.0015163369,-99.024712,0.051845334,129.54141,0.84517181,-124.96793
9008919,0.95480138,-100.83217,0.00074292091,45.632214,0.049797587,88.405945,0.7945556,-130.28673
9508914.5,0.95024955,-106.2579,0.0014947555,114.0498,0.02503025,-44.648972,0.78601927,-135.67181
10008910,0.94499332,-112.01478,0.00050587964,-178.24945,0.036787327,89.161324,0.74557626,-142.72414
10508905.5,0.94209498,-117.55107,0.00056495855,65.87851,0.073867373,34.10096,0.75726718,-150.51195
11008901,0.93602943,-123.12492,0.0010641057,114.52672,0.08004085,-42.696011,0.73613948,-157.64197
11508896.5,0.92958122,-128.83197,0.00078893406,12.099346,0.07976348,-47.378933,0.75428486,-161.9912
12008892,0.92450428,-134.52293,0.00062858011,-98.389755,0.0404195,7.3524117,0.6963436,-166.08223
12508887.5,0.91570854,-140.15193,0.0010219397,70.338089,0.072024524,-75.783844,0.70643222,-174.66254
13008883,0.91013378,-145.77686,0.00091860467,-20.008587,0.0811482,-25.91493,0.67656088,-178.69635
13508878.5,0.90201068,-151.28802,0.00017547213,159.55392,0.049866244,-27.391104,0.68170816,176.59096
14008874,0.8938005,-156.88065,0.00065530359,-42.870823,0.088957578,-36.453938,0.65865695,170.7917
14508869.5,0.88465321,-162.37755,0.00021949896,156.01849,0.14191031,-30.264399,0.67067415,167.40892
15008865,0.87603819,-167.71552,0.00041043494,110.51163,0.028073465,32.380737,0.63537163,162.44711
