!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 17:44:00
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99962008,0.51313365,0.00079625141,27.107435,0.01546072,23.869963,1.0029014,0.55561918
508995.5,0.99569577,-5.7029648,0.0035686314,-155.19434,0.0052356096,-7.0074029,0.96709931,-7.1389041
1008991,0.99943429,-11.216563,0.0036436087,-165.30197,0.0067508249,24.751606,0.97736913,-13.809485
1508986.5,0.9984194,-16.71806,0.00074909808,80.519112,0.018372159,-132.74695,0.96836323,-24.725138
2008982,0.99961865,-22.479425,0.0017052373,163.38716,0.0126695,132.07138,0.98164976,-31.44722
2508977.5,0.99664843,-28.23498,0.0017124425,-79.027077,0.020741351,35.195156,0.96307576,-40.115215
3008973,0.99589682,-33.515369,0.0014020891,-56.821365,0.010131011,-55.748547,0.94560236,-48.546852
3508968.5,0.99270594,-39.193474,0.0014342662,139.01862,0.0042951819,-134.49481,0.94838357,-53.146873
4008964,0.98897928,-44.85799,0.00083948101,-172.73615,0.036633465,-121.82723,0.90811342,-64.309074
4508959.5,0.99035305,-50.541069,0.00034582289,69.850044,0.018793721,-78.731636,0.93884599,-70.867271
5008955,0.98815244,-56.17506,0.003329952,98.980995,0.026410017,-27.296385,0.91996646,-79.028969
5508950.5,0.97838604,-61.663975,0.0009240181,120.65537,0.043018322,69.127563,0.84439152,-85.630493
6008946,0.98406512,-67.397667,0.0008505233,74.632393,0.015733495,48.877342,0.91619116,-90.286072
6508941.5,0.97984946,-72.956841,0.0010400787,171.61926,0.028968595,8.7772245,0.85597128,-98.918732
7008937,0.97407311,-78.710388,0.00031023481,1.3558182,0.042124338,113.80845,0.87266201,-105.58401
7508932.5,0.97206372,-84.138748,0.00047819305,56.488274,0.020615745,-126.95547,0.82596624,-112.73686
8008928,0.96584487,-89.730385,0.0010542395,48.84977,0.028503001,7.0498629,0.81635809,-120.17294
8508923.5,0.96189892,-95.505547,0.00084008049,114.20766,0.066210836,28.641157,0.80028784,-126.61435
9008919,0.95790738,-101.08112,0.0014920025,140.64351,0.018736033,-177.11551,0.76408941,-134.10817
9508914.5,0.95409316,-106.6949,0.00091290026,72.43145,0.038338255,-9.2289171,0.77090961,-138.50031
10008910,0.94821453,-112.23031,0.00022853463,64.715057,0.056436781,4.7002354,0.74761194,-143.18617
10508905.5,0.94165176,-117.85654,0.00062366459,-73.964783,0.048517257,116.19861,0.77232045,-151.3372
11008901,0.93910408,-123.55072,0.0016066994,-76.291168,0.053837504,-76.396584,0.71872562,-153.64307
11508896.5,0.93190366,-129.18253,0.0010884998,-94.780342,0.026123388,134.47147,0.71866393,-163.41312
12008892,0.92632979,-134.59218,0.00012159382,-60.257092,0.098383099,-50.663376,0.69798046,-166.40163
12508887.5,0.91787308,-140.42337,0.00091395376,-68.259354,0.023803122,-6.4126959,0.71490616,-173.92186
13008883,0.91138822,-145.899,0.00073470402,152.68781,0.068738669,-61.444027,0.68895388,-179.26392
13508878.5,0.90475446,-151.43008,0.0017296551,63.041901,0.031435687,-8.885725,0.67580432,175.58054
14008874,0.89596212,-156.93211,0.0013246472,141.5416,0.058292519,-66.716698,0.6602034,168.05527
14508869.5,0.88741714,-162.30833,0.00054847129,143.89906,0.051253207,17.215611,0.6545403,163.60822
15008865,0.87885088,-167.7449,0.00035713357,-139.9453,0.062693402,-78.855164,0.65178621,160.46756
15508860.5,0.86986089,-173.07475,0.00043414847,-82.260857,0.1399551,-60.397846,0.63207966,153.66711
16008856,0.86405677,-178.3791,0.00042504529,47.668751,0.12085789,-73.860718,0.66701126,151.65617
16508851.5,0.85689765,176.29089,0.00023696259,-175.40207,0.024250414,-69.50647,0.60602802,142.73492
17008847,0.85025001,171.12463,0.00068277161,104.96001,0.042200938,-79.686829,0.59960896,139.20168
17508842.5,0.84354615,165.80602,0.00083308417,66.35392,0.15890253,-70.608055,0.65999717,132.51225
18008838,0.83747238,160.70367,0.00012471255,37.886448,0.17587578,-94.207741,0.65362734,130.92845
18508833.5,0.83037502,155.48466,0.0003896149,29.01214,0.11665528,-87.325134,0.57987565,123.0287
19008829,0.82441086,150.3884,0.00029590668,-47.517067,0.090205587,-107.97253,0.62023884,122.07777
19508824.5,0.81971794,144.97305,0.00044016365,116.85799,0.15427782,-88.083847,0.59159344,114.31583
20008820,0.81715268,140.11656,0.00070186879,-113.62927,0.1874117,-101.32336,0.60704261,111.26343
