!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 18:04:09
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99756116,0.59492087,0.00091793435,59.715607,0.0065581854,-117.31428,1.0049744,0.95511264
508995.5,0.99757117,-5.7314219,0.0067185774,-90.969879,0.030959053,55.186451,1.0298399,-7.2293191
1008991,0.99673176,-11.139008,0.0039554616,133.90666,0.02002757,-178.90166,0.97545922,-16.174904
1508986.5,0.99676406,-16.65686,0.00055647612,-173.51006,0.041897036,-4.8098969,0.97552437,-24.364841
2008982,0.9938705,-21.955305,0.0017488818,167.10695,0.022319559,-100.91319,1.0032952,-32.74268
2508977.5,0.9993093,-27.818104,0.0012888158,179.40967,0.019632939,80.729095,0.98409528,-40.300426
3008973,0.99548841,-33.353329,0.0018507461,26.273294,0.018494345,-125.40803,0.95671034,-47.856598
3508968.5,0.99289989,-38.897881,0.0013286731,-137.68948,0.017252725,173.87714,0.97589177,-56.065002
4008964,0.99096698,-44.395893,0.00028357565,10.106916,0.014795036,97.959358,0.95355874,-63.021828
4508959.5,0.99138886,-49.959377,0.00022590492,108.48381,0.0083809653,-157.69606,0.93584871,-69.66478
5008955,0.98387992,-55.56501,0.0011074583,-109.87657,0.024896111,158.63605,0.95421493,-77.746414
5508950.5,0.97924656,-61.090271,0.00092183711,-125.97575,0.014061728,35.978397,0.87938082,-84.881149
6008946,0.98074919,-66.642822,0.00045175725,-158.33479,0.058301982,27.062414,0.94540095,-89.393898
6508941.5,0.97803861,-72.040688,0.00044069099,-172.79442,0.069010973,146.03926,0.87717903,-98.527397
7008937,0.97636092,-77.801208,0.00020105,-8.3807735,0.023391658,165.54791,0.82862186,-105.34651
7508932.5,0.9700743,-83.118187,0.0012372509,-160.22842,0.037587594,-43.428726,0.826289,-113.08144
8008928,0.96548933,-88.784645,0.0010287125,169.10558,0.022262983,29.154482,0.79227519,-118.52262
8508923.5,0.96162534,-94.329071,0.00040408433,108.53282,0.030545596,34.647533,0.82481337,-124.34454
9008919,0.95782685,-99.854614,0.00072140415,3.3856485,0.048915882,43.09441,0.77715129,-131.71153
9508914.5,0.95500666,-105.44883,0.0010986825,-3.2047017,0.025947388,-75.780258,0.77926594,-138.86879
10008910,0.94846952,-110.99398,0.0011943158,59.479111,0.048096802,11.072242,0.74040473,-146.4198
10508905.5,0.94416541,-116.65514,0.001350855,44.103565,0.067572869,6.5398445,0.74530727,-151.62074
11008901,0.93982071,-122.06863,0.0013953747,8.0469179,0.055838928,55.681137,0.74419284,-155.62799
11508896.5,0.93067521,-127.78026,0.00051367644,-7.46629,0.019648511,-97.500053,0.72979182,-165.39294
12008892,0.92543554,-133.25,0.00062339986,35.841503,0.032160416,115.88029,0.74588114,-167.27571
12508887.5,0.92101783,-138.98271,0.00049733819,42.094513,0.15167655,-53.985111,0.72659856,-174.61758
13008883,0.91334933,-144.52119,0.00094377535,93.272911,0.053651754,-107.26189,0.68101114,179.48816
13508878.5,0.90572816,-150.06682,0.00046367335,138.24603,0.1043181,-20.704321,0.68883044,176.11122
14008874,0.89773244,-155.54706,0.0008855011,-14.229565,0.1277782,-29.150715,0.67238361,169.7527
14508869.5,0.88904017,-160.87257,0.001085903,-8.630187,0.081496328,-68.459869,0.65005666,165.259
15008865,0.880983,-166.42207,0.0016414834,54.238533,0.03016839,-33.119232,0.68132174,161.84703
15508860.5,0.87223291,-171.69717,0.0007832197,82.756912,0.052983981,-22.826199,0.59924561,153.64207
16008856,0.86541587,-177.04964,0.00047328498,74.014313,0.042832434,-40.086842,0.65608656,150.30986
16508851.5,0.85844171,177.67462,0.00096068153,162.46404,0.16773617,-82.37352,0.65878057,147.97209
17008847,0.8520214,172.47185,0.00055042462,84.996819,0.15502155,-95.692078,0.61977726,137.61909
17508842.5,0.84489208,167.23602,0.00035592774,17.799765,0.1715275,-118.30354,0.62289983,136.09444
18008838,0.83772051,161.97841,0.00098193157,130.55836,0.2499986,-103.30981,0.643758,128.69768
18508833.5,0.83310974,156.74541,0.00086108822,-8.5796928,0.14549069,-56.971474,0.60992259,127.01117
19008829,0.82662261,151.63104,0.0018995525,166.41284,0.15152618,-45.624599,0.61384058,122.28421
19508824.5,0.82068318,146.30701,0.0016333559,155.50174,0.12376918,-109.93958,0.60963184,118.10143
20008820,0.81844425,141.35593,0.00068995095,119.79895,0.23253629,-94.998299,0.60236067,114.91348
20508815.5,0.81113583,136.14458,0.00064869871,-18.88759,0.18299657,-105.12745,0.63560653,109.87373
21008811,0.80898064,131.02852,0.0010602255,136.38596,0.11123994,-92.228455,0.58465093,107.07166
21508806.5,0.80375922,125.97094,0.0003347444,-2.7946875,0.16794041,-125.2035,0.56625605,98.185577
22008802,0.79650342,120.79911,0.00051223935,-67.057503,0.16949473,-128.36278,0.5604099,92.921761
22508797.5,0.79274505,115.78653,0.00019978218,-4.0296845,0.25942272,-109.53338,0.61791563,89.127602
23008793,0.78772855,110.5358,0.0003558248,52.298153,0.27490017,-147.15691,0.62491477,84.869553
23508788.5,0.78665894,105.67527,0.00066901703,141.336,0.26499256,-106.51838,0.60617965,80.216263
24008784,0.78031969,100.61839,0.0011205716,164.85031,0.16197951,-158.58313,0.6526196,76.517006
24508779.5,0.782812,95.578644,0.00043615192,84.207741,0.30902275,-141.81992,0.55526668,74.921326
25008775,0.77460903,90.624969,0.00044922155,-132.29921,0.27625185,-137.73563,0.56542867,70.384415
25508770.5,0.77358961,85.395416,0.0011285321,135.59261,0.26425269,-131.8324,0.58656597,63.628757
26008766,0.76932633,80.378815,0.0012141914,-5.6787901,0.2936978,-138.09299,0.59359378,60.816757
26508761.5,0.76305073,75.38868,0.00094673218,-118.20303,0.43132666,-139.36879,0.59017134,56.530781
27008757,0.76453739,70.368446,0.00017556964,121.2663,0.32982785,-158.25162,0.56849718,52.128529
27508752.5,0.76115608,65.40834,0.00015409174,141.17883,0.64571571,-154.17128,0.56031811,50.826241
28008748,0.75361234,60.42844,0.00072607194,20.015852,0.56038857,-158.83487,0.57966453,45.533409
28508743.5,0.75072479,55.684696,0.00077167636,138.23193,0.52177566,-154.42584,0.57960564,39.510242
29008739,0.75013101,50.151405,0.0019761631,-176.62068,0.70596659,-173.0247,0.59488314,34.421272
29508734.5,0.74954426,45.496502,0.00090291142,110.29088,0.85452867,-168.85294,0.5599252,33.536572
30008730,0.74677354,40.192432,0.00055659888,83.731987,0.77179843,-169.01877,0.56114483,28.121893
30508725.5,0.7408123,35.243858,0.0014395682,-136.20946,1.0826832,-162.67235,0.56911886,28.132725
31008721,0.73836309,29.849279,0.00062651502,-86.208504,1.2663941,-168.35013,0.72139776,29.139412
31508716.5,0.73122692,25.429811,0.0011204556,20.213774,0.92435545,172.71523,0.63553482,19.127874
32008712,0.73314565,19.749573,0.0010352739,25.902445,1.4235775,172.98927,0.64756942,11.607344
32508707.5,0.73111004,15.12958,0.00023156893,-39.043076,1.27855,166.03665,0.46289095,5.1067686
33008703,0.72500014,10.069345,0.002228823,163.52855,1.7467277,162.95317,0.57311821,10.040309
33508698.5,0.71663517,4.5725579,0.0014484372,79.73912,1.5756174,148.20016,0.61019254,8.9772434
34008694,0.71773839,-0.6073463,0.0014693235,-142.91223,2.9562211,160.90494,0.59948212,-11.845779
34508689.5,0.71087366,-6.043705,0.001497907,88.60775,3.1811357,150.63187,0.60174793,-7.1186237
35008685,0.70765644,-11.616089,0.0011271609,-144.21277,3.0003228,146.46402,0.47009858,-3.7746327
35508680.5,0.69699812,-16.35482,0.0005001729,111.49961,3.225919,148.89893,0.47250095,-22.010654
36008676,0.69208431,-21.790779,0.0011653795,-8.5403709,3.9354503,121.33608,0.37675452,-9.7733088
36508671.5,0.68906242,-27.611168,0.0015919206,-73.62677,5.4358287,117.73462,0.60863167,-16.933744
37008667,0.67784572,-32.686939,0.00023349172,-56.770668,5.9529233,109.81688,0.53596789,-20.792109
37508662.5,0.66376942,-38.326107,0.0011349587,-91.882469,6.2297435,105.84064,0.58001566,-30.557646
38008658,0.65596777,-43.932453,0.00065800053,-9.9863424,5.6413879,103.56396,0.47785589,-33.14061
38508653.5,0.64211035,-49.249081,0.0016957851,-80.081779,6.8951545,97.161415,0.59970492,-24.596523
39008649,0.63299686,-55.004486,0.00080293475,107.1243,6.6361003,92.115562,0.60674632,-25.230167
39508644.5,0.61859763,-60.012665,0.0019085552,-118.54381,8.3657055,85.429131,0.67807549,-30.90996
40008640,0.60916477,-65.487434,0.00094787922,-9.2716188,9.3555164,77.589844,0.44398811,-46.802471
40508635.5,0.59154904,-71.042091,0.002262501,-9.9674444,10.916013,69.162125,0.56479794,-55.423618
41008631,0.57685417,-75.893562,0.001897148,41.412788,12.395067,60.506844,0.51705581,-71.123795
41508626.5,0.56423444,-82.286964,0.00055196416,-96.949387,13.300251,53.611164,0.55116892,-59.466156
42008622,0.55342484,-87.233612,0.00060418883,-147.83492,14.591431,43.592636,0.64774787,-61.035023
42508617.5,0.52948421,-92.072426,0.0014218856,-169.03741,15.166889,37.946507,0.51534277,-60.234974
43008613,0.51534009,-97.694466,0.0014069492,-155.57761,16.840143,31.693079,0.4128443,-83.254776
43508608.5,0.50069982,-102.56171,0.0017678055,2.3705752,18.893629,26.123146,0.49246508,-58.72728
44008604,0.48585007,-108.24637,0.00026565479,78.632866,20.13323,17.694286,0.36956632,-77.331085
44508599.5,0.47214881,-113.17381,0.001547371,131.08568,21.155653,12.553198,0.48243147,-79.586578
45008595,0.45620933,-117.96732,0.00055367872,-36.654331,23.651907,2.7698216,0.55708534,-77.165123
45508590.5,0.43983704,-122.56312,0.0013390908,-51.722397,25.025637,-2.6829247,0.6931228,-83.269287
46008586,0.42490661,-127.97462,0.00073134655,123.00343,27.51873,-8.7106781,0.58834344,-85.464897
46508581.5,0.40868491,-132.69496,0.001118028,164.57726,28.502096,-17.134174,0.52634227,-92.81739
47008577,0.39817607,-137.50002,0.0012304625,140.93646,31.134752,-22.366285,0.60955572,-93.670425
47508572.5,0.38279721,-142.45937,0.00075643288,155.87463,32.760239,-28.457811,0.57800555,-102.7787
48008568,0.36908382,-146.86699,0.0014036414,-50.256458,34.920204,-35.686619,0.56115091,-100.27499
48508563.5,0.35550788,-151.36853,0.0012430131,-158.18204,37.949898,-40.937946,0.63305205,-116.24748
49008559,0.34317705,-155.64467,0.0014414976,177.88603,41.430378,-47.525654,0.53471988,-128.5822
49508554.5,0.33256644,-160.5434,0.00026117414,126.75823,43.178349,-54.80154,0.56636262,-107.42131
50008550,0.31857508,-164.54324,0.00020269783,-168.77826,45.714935,-60.640572,0.54556412,-114.44864
