!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 18:03:08
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99765897,0.61964697,0.00045324382,-1.0086772,0.0076902648,-86.568542,0.99354267,0.85748088
508995.5,0.99873501,-5.6775661,0.00094874483,-126.70722,0.010225112,-164.981,1.0013118,-7.4582977
1008991,1.0024014,-11.5043,0.0028618758,6.151969,0.0057851379,-125.66443,1.0046721,-14.425669
1508986.5,0.99765044,-16.93391,0.0031975133,109.08306,0.027696608,-136.70126,0.99262619,-22.936743
2008982,0.9989087,-22.724495,0.0018496052,55.59573,0.01118705,55.252422,0.98948377,-31.158401
2508977.5,0.99454802,-28.062628,0.000734156,-115.89137,0.020901313,-33.389038,0.94772625,-41.474194
3008973,0.99655676,-34.071339,0.00067777728,18.033501,0.01893042,-100.93465,0.94832236,-48.74585
3508968.5,0.99075389,-39.625214,0.00089413801,76.801376,0.036793929,47.617222,0.957389,-54.253159
4008964,0.99133867,-44.970333,0.00062210235,-22.999395,0.0281494,134.93251,0.95001304,-62.69199
4508959.5,0.99229854,-50.661701,0.00049203611,110.0863,0.014042948,-99.066025,0.92005664,-70.124771
5008955,0.98805505,-56.614101,0.00029668715,-30.897881,0.017276837,53.017265,0.95452881,-75.103592
5508950.5,0.98592722,-62.036697,0.0013420491,162.80409,0.031989142,-162.22289,0.88417751,-83.697304
6008946,0.98305976,-67.656914,0.00071118528,81.482033,0.015285955,146.65015,0.88255,-90.371849
6508941.5,0.97812414,-73.30143,0.0014834332,143.23318,0.034321148,2.2740953,0.85556382,-100.38748
7008937,0.97492003,-79.029655,0.00095637771,-122.45973,0.031576958,139.0811,0.8544324,-104.75407
7508932.5,0.96854806,-84.503899,0.00081442943,75.668221,0.018793773,-42.130352,0.85810399,-113.27791
8008928,0.96483696,-90.242714,0.0010324407,-162.74107,0.08002004,-22.005033,0.84327978,-119.08652
8508923.5,0.96147341,-95.776878,0.00074463419,-157.8494,0.02864331,-93.475258,0.80841726,-123.36671
9008919,0.95682693,-101.52291,0.0002080548,-87.036652,0.015352825,141.52086,0.81066787,-132.7448
9508914.5,0.95166391,-107.08423,0.00090401294,-159.30051,0.030668681,67.921638,0.78852189,-138.35489
10008910,0.94759828,-112.72667,0.00049719366,-56.779606,0.034617372,-68.336807,0.78706664,-144.87645
10508905.5,0.93959689,-118.31178,0.00087843603,173.92458,0.026658418,0.83905429,0.73490506,-149.33885
11008901,0.93706381,-123.95487,0.00028804049,-86.719864,0.018737236,128.48758,0.7816546,-155.1658
11508896.5,0.93132567,-129.71349,0.00035891763,103.00945,0.062291007,-79.035294,0.73827893,-160.3284
12008892,0.9231075,-135.41698,0.0010570128,-70.903938,0.043976177,-126.90298,0.686005,-167.39861
12508887.5,0.91698515,-141.02139,0.0004837609,169.06613,0.084702112,-125.94873,0.70311934,-170.97897
13008883,0.91124111,-146.53343,5.6594159e-005,-125.91248,0.074018724,-80.820274,0.66241151,179.989
13508878.5,0.90292704,-152.04932,0.0009563354,-31.645937,0.075213768,11.83304,0.70126706,173.18785
14008874,0.89454174,-157.51611,0.00019626545,48.440395,0.075965822,-85.989441,0.67066491,170.5002
14508869.5,0.885427,-162.95891,0.00092671934,-86.538857,0.064222753,-63.128132,0.66821027,163.07394
15008865,0.87814021,-168.30589,0.00071883749,-60.120556,0.15893549,-39.576851,0.65516293,162.82932
15508860.5,0.8703326,-173.73213,0.0011419608,-0.00055138324,0.080311902,-60.401058,0.66842258,156.39212
16008856,0.86385471,-179.144,0.00077208865,27.459723,0.18380362,-85.002602,0.65873766,150.95203
16508851.5,0.85633683,175.68123,0.0014864934,-108.30569,0.066394545,-78.42598,0.61788088,142.17477
17008847,0.84986579,170.3876,0.00076325907,99.141266,0.11597821,-61.456009,0.65566903,143.2662
17508842.5,0.84405327,165.04832,0.0013262351,54.614883,0.13279678,-79.05928,0.61754084,135.25832
18008838,0.8375566,159.78406,0.0016458862,-51.205715,0.08566124,-107.23499,0.59537601,131.10178
18508833.5,0.83192641,154.69392,0.00041275489,104.66783,0.10235372,-109.3206,0.59970576,123.77774
19008829,0.82524854,149.57616,0.00024849098,-32.142159,0.22571731,-66.662498,0.62567931,120.1545
19508824.5,0.8221339,144.30661,0.00025241406,-77.853844,0.14609472,-95.076141,0.56801558,115.92341
20008820,0.81617481,139.21674,0.00073907839,-108.98784,0.091393858,-103.88113,0.59177351,113.53756
20508815.5,0.80992705,134.04692,0.00051211525,-161.01144,0.2194654,-97.189644,0.58770043,110.10354
21008811,0.80585659,128.99017,0.00066135643,64.26693,0.15650922,-80.608536,0.60285705,102.23944
21508806.5,0.80032629,124.02912,0.00086510618,-106.85604,0.27236867,-126.52074,0.62095869,95.376961
22008802,0.79803735,119.03434,0.00083573296,-148.53894,0.2716012,-116.59976,0.61703652,93.502121
22508797.5,0.79241008,113.89467,0.00088042411,167.82948,0.25237989,-149.9411,0.57753009,90.874443
23008793,0.78845412,108.70194,0.00038624552,170.60953,0.28791794,-150.35449,0.58607101,82.929764
23508788.5,0.78722078,103.6229,0.00044911768,-88.335915,0.34607974,-105.2227,0.59663635,80.119858
24008784,0.78293085,98.599037,0.0015698574,-4.293438,0.30392987,-138.11116,0.58246475,73.785004
24508779.5,0.77893889,93.781158,0.00048908882,-29.808281,0.33312222,-143.96165,0.60164982,72.601051
25008775,0.77690941,88.824539,0.00019618862,157.62064,0.28154278,-135.93439,0.5833624,70.652924
25508770.5,0.77198976,83.995796,0.00056000944,-164.541,0.32219407,-136.33762,0.60417247,65.285332
26008766,0.76967812,78.792664,0.00075556099,30.649504,0.35839364,-146.4939,0.59528929,59.680847
