!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 18:04:35
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99765855,0.62284094,0.00031472844,-1.1797314,0.002725193,9.9507303,1.0013222,0.59317064
508995.5,0.99697232,-5.8293233,0.0019297746,162.35831,0.0015043445,-20.122341,0.96167547,-10.64401
1008991,0.99373609,-11.218892,0.0020766796,74.045174,0.015709497,138.91687,1.0034297,-15.551656
1508986.5,0.99529725,-16.993494,0.0023972469,-40.506374,0.014091196,70.530693,0.97976071,-23.531406
2008982,1.000446,-22.413536,0.0012421826,6.4992251,0.039515477,-118.96861,0.98259872,-30.537195
2508977.5,0.99530673,-27.966646,0.0012377901,-123.48104,0.019969478,-105.09091,0.99697536,-40.650909
3008973,0.99525958,-33.502045,0.0011178564,-108.07423,0.0140203,-97.094032,0.9566496,-47.263882
3508968.5,0.99305379,-39.391838,0.0014530041,30.86112,0.0266861,-174.31311,0.97642738,-55.566746
4008964,0.99197173,-44.59531,0.00081722025,-25.336525,0.0097380821,-121.85262,0.9214831,-60.583733
4508959.5,0.98714024,-50.357498,0.00067309954,-136.81395,0.049346376,-68.402771,0.89629787,-70.09716
5008955,0.98826909,-55.96553,0.00050522306,-164.3994,0.03356779,157.01405,0.87506294,-78.491562
5508950.5,0.98559719,-61.644344,0.0014069526,76.016396,0.019690348,-10.368615,0.89890122,-82.963768
6008946,0.98233491,-67.261429,0.00052900921,13.916369,0.029594919,-6.0950766,0.85810483,-91.080688
6508941.5,0.97756249,-72.895172,0.00049773953,160.53723,0.021882527,162.82915,0.86826932,-96.820518
7008937,0.9745928,-78.517593,0.00013806045,64.994461,0.072285354,-166.10887,0.87480181,-105.92141
7508932.5,0.97051424,-84.378716,0.00065469753,156.95303,0.045682777,-5.1209702,0.84171927,-111.67781
8008928,0.9680286,-89.629784,0.001501233,102.26536,0.03596615,101.29202,0.81066769,-117.53735
8508923.5,0.96032208,-95.332695,0.0014081884,18.537308,0.0052368017,-72.060776,0.81283826,-125.39512
9008919,0.95742834,-100.96796,0.00025061338,-97.048393,0.075948164,-115.19359,0.80594647,-131.36774
9508914.5,0.95126373,-106.45423,0.00091353542,139.15891,0.10094477,39.127666,0.80759609,-137.15617
10008910,0.94794983,-112.23865,0.00096808438,84.329208,0.049046479,32.661423,0.77095485,-142.3499
10508905.5,0.94238067,-117.84396,0.00063762028,-111.80782,0.010699096,-38.853924,0.74476826,-149.82465
11008901,0.93674904,-123.47507,0.0010288662,172.16298,0.024714509,-28.601563,0.72868615,-154.35703
11508896.5,0.93069398,-129.1185,0.0016516786,-64.842117,0.096162766,4.2001314,0.70341969,-161.70255
12008892,0.923715,-134.6588,0.00033293167,-156.52254,0.084450319,-43.807903,0.68698227,-167.83704
12508887.5,0.91821599,-140.27629,0.00030834001,-106.68845,0.099556677,-44.305168,0.68624884,-173.88033
13008883,0.91153824,-145.86063,0.00071527215,47.130505,0.058381118,-27.142813,0.69958365,-178.53346
13508878.5,0.90282023,-151.45624,0.00090665231,50.609047,0.077776052,-65.960068,0.71536839,174.62238
14008874,0.89315701,-156.91878,0.00068704801,125.01802,0.086423695,6.258296,0.66041183,169.58487
14508869.5,0.8854472,-162.41931,0.00059707119,-158.01057,0.095220298,-84.073746,0.66235703,167.49481
15008865,0.87820399,-167.89023,0.0010088376,111.76304,0.15540189,-97.750191,0.65019172,159.14616
