!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 17:40:49
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99801391,0.56245065,0.0010022111,64.006416,0.0018373961,-129.75284,0.99751168,0.45937276
508995.5,0.99861568,-5.7546015,0.0061247852,-132.55728,0.010136111,169.1691,1.0307634,-8.5587378
1008991,1.0013078,-11.426421,0.0013458957,93.406052,0.012349593,-20.965883,1.0406156,-13.711545
1508986.5,0.9990449,-16.745241,0.0067670248,83.200249,0.029665023,103.11436,0.99976599,-25.011911
2008982,0.99646646,-22.536839,0.0010270505,136.26808,0.028879689,167.06749,0.96015561,-29.974703
2508977.5,0.99692726,-28.146568,0.0014945044,176.16342,0.016718509,-34.629135,1.0012938,-39.500221
3008973,1.0004401,-33.650471,0.00083991175,-167.38776,0.01108994,-129.01726,0.98939264,-49.581718
3508968.5,0.99365807,-39.337112,0.0011492426,-24.867977,0.018261414,-73.959351,0.94938743,-56.137062
4008964,0.99324989,-44.939766,0.0011133986,80.977226,0.016492369,-163.54358,0.91351068,-63.467793
4508959.5,0.99220622,-50.44141,0.00037592268,89.482185,0.010601345,-170.60626,0.93743569,-69.296021
5008955,0.9883728,-56.163006,0.001247849,21.078444,0.02522409,-119.92371,0.92381954,-77.680832
5508950.5,0.98522741,-61.838661,0.0013721588,-164.92712,0.018780325,26.163195,0.89867967,-85.628021
6008946,0.97841984,-67.283836,0.0011462808,151.60716,0.01692744,-76.76519,0.87804139,-92.731041
6508941.5,0.97780842,-73.294983,0.0011127541,179.71339,0.028388543,47.002377,0.83283627,-97.966812
7008937,0.97382522,-78.516006,0.0011770932,-136.36403,0.0097431224,-108.53843,0.82173544,-104.53284
7508932.5,0.96992922,-84.193649,0.0007653581,-138.24496,0.037866764,-165.98119,0.81850028,-111.26945
8008928,0.96532327,-89.947647,8.0278551e-005,-174.79721,0.0060062748,-52.717438,0.78242075,-119.25579
8508923.5,0.96050537,-95.454704,0.00066563417,156.41734,0.034132313,115.01196,0.80814719,-125.53365
9008919,0.95656991,-101.29382,0.00031306842,-107.06509,0.063650735,-33.050381,0.77545178,-131.14082
9508914.5,0.95237482,-106.77918,0.0011405696,18.341122,0.044485934,136.05644,0.76580608,-139.26134
10008910,0.94664359,-112.22681,0.0012858645,-24.881033,0.03852734,28.054405,0.75520957,-146.85513
