!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 17:41:28
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99887115,0.61036676,0.0014672655,-0.79627639,0.0042900695,-117.26782,0.99771887,0.49016902
508995.5,1.0000142,-5.5653744,0.0015726628,130.3132,0.03139643,174.52615,0.99521184,-10.113569
1008991,0.99689168,-11.101538,0.0011070856,162.811,0.018362846,-170.50917,0.9853785,-13.312706
1508986.5,0.99527305,-16.386286,0.0026460874,-150.58571,0.010283282,75.768562,0.99284846,-22.704014
2008982,0.9974941,-21.932766,0.00077220809,167.5322,0.017827023,-67.892723,0.96018517,-31.840778
2508977.5,0.99569225,-27.315784,0.00078502367,123.30106,0.020453835,-115.63738,0.96228504,-38.891922
3008973,0.99579793,-32.893372,0.0014198124,-83.63372,0.016306533,-120.0042,0.99197567,-47.802052
3508968.5,0.99338442,-38.440735,0.00098131318,-141.39378,0.013701772,6.8007231,0.95204973,-54.170395
4008964,0.99585611,-44.170635,0.0014532073,-132.79948,0.024647994,-170.104,0.96476358,-64.4338
4508959.5,0.98985177,-49.3923,0.0014654016,-104.71594,0.071251087,8.6621618,0.91884482,-69.688477
5008955,0.98852473,-54.947498,0.00030923041,59.406254,0.019810596,29.48357,0.94200081,-77.17202
5508950.5,0.98167598,-60.233334,0.0004720857,-69.784981,0.0091385068,-48.690441,0.87714523,-83.742546
6008946,0.98119164,-65.752319,0.00037216389,-14.797694,0.026543863,-79.207603,0.88596016,-92.445183
6508941.5,0.97799379,-71.561783,0.00090103294,170.12451,0.025160685,21.296965,0.87285101,-99.976944
7008937,0.97169805,-76.906685,0.0011464467,-175.10017,0.027089968,168.39304,0.85545951,-106.87721
7508932.5,0.97154874,-82.17086,0.00078663026,94.034607,0.029493144,49.116863,0.86180437,-113.54866
8008928,0.96774393,-87.802353,0.0010961881,57.230633,0.038098406,-76.342949,0.83213276,-116.41865
8508923.5,0.96634835,-93.449974,0.00052942726,148.03824,0.033820257,31.613575,0.7914564,-125.89077
9008919,0.95696658,-98.863411,0.00015161894,70.107346,0.0080162892,-134.0083,0.78915942,-132.08705
9508914.5,0.95277685,-104.23933,0.00049077964,-52.610546,0.050738532,-49.547573,0.80564934,-137.31026
10008910,0.9495222,-109.70238,0.0008067867,-167.15588,0.062273342,-43.609554,0.73670506,-139.89558
10508905.5,0.94463384,-115.41677,0.00030668222,-71.771927,0.070698984,45.580906,0.73021966,-149.91763
11008901,0.93986338,-120.86922,0.000852692,67.832001,0.033613332,-98.617653,0.74233103,-156.46774
11508896.5,0.93496388,-126.43328,0.0016363524,-49.210403,0.049097762,-51.668858,0.73924887,-162.5748
12008892,0.92629057,-132.09726,0.00069402379,-144.78745,0.019677838,-25.804829,0.69231015,-167.28154
12508887.5,0.92303848,-137.51686,0.0010448735,14.527479,0.019302486,153.10774,0.73500836,-171.56511
13008883,0.91526848,-143.01869,0.00084548694,-135.74477,0.050663475,-26.25724,0.71789372,-176.00301
13508878.5,0.90608919,-148.51956,0.00095135579,-12.47982,0.083382703,-27.460974,0.67519122,176.46706
14008874,0.89983183,-154.02959,0.00058611279,51.97831,0.10514405,-47.78006,0.6868872,171.92014
14508869.5,0.89092088,-159.28061,0.0013215489,119.49296,0.079674751,-94.420845,0.65859944,165.19107
15008865,0.88371122,-164.75974,0.0010900623,-172.29306,0.089215539,-111.51866,0.66998279,158.55179
15508860.5,0.87448627,-170.12965,0.00068800908,-103.85075,0.048395675,-69.883888,0.65240163,153.76364
16008856,0.86809111,-175.36423,0.00034391964,-47.416664,0.10700576,-64.061531,0.64489037,150.81633
16508851.5,0.86046171,179.3532,0.00077111705,-36.408546,0.086376339,-51.879128,0.63867861,145.74898
17008847,0.85416782,174.16148,0.00089011429,-116.98328,0.14066646,-68.896027,0.62641478,141.79077
17508842.5,0.84798688,168.92863,0.0015409478,-164.77467,0.084547043,-75.373825,0.64230335,136.63597
18008838,0.84084648,163.66206,0.00036094867,68.76976,0.046387732,-76.923111,0.66308004,128.94589
18508833.5,0.83678108,158.42422,0.0012588201,-156.75919,0.094650365,-156.31485,0.61980581,124.92807
19008829,0.82971036,153.24222,0.0014832526,-30.724588,0.1360942,-129.96336,0.63893217,124.35011
19508824.5,0.82473695,148.02664,0.00030188085,-113.5663,0.19942749,-109.22882,0.57501364,118.99475
20008820,0.82080364,142.89529,0.0010874592,-161.59698,0.18343008,-144.06993,0.61007792,114.03012
20508815.5,0.81414455,137.71321,0.0003932234,-129.0209,0.15302874,-108.25443,0.65962481,107.23328
21008811,0.81016552,132.65057,0.00083856343,-40.758663,0.21809855,-116.42281,0.62203342,102.41384
21508806.5,0.80615717,127.64165,0.00074277492,116.58646,0.076118439,-125.36911,0.62323385,100.5611
22008802,0.79784435,122.4284,0.00076445687,-137.32317,0.13824593,-82.519188,0.60162073,97.061272
22508797.5,0.79512608,117.57425,0.0015206042,-77.60083,0.11948003,-139.37628,0.60687214,90.143234
23008793,0.79200494,112.05875,0.00035361235,114.80496,0.23450395,-92.988884,0.57767624,87.124054
23508788.5,0.79031563,107.1558,0.0012994071,-85.189842,0.3174668,-123.39539,0.62662113,80.249603
24008784,0.7856524,102.13943,0.00074593443,148.18497,0.20962645,-113.02808,0.60316992,74.664955
24508779.5,0.7774595,96.959999,0.0015440817,-163.30835,0.2826888,-129.7722,0.57122564,74.743881
25008775,0.77804202,92.050529,0.00045147497,-20.073606,0.19765198,-150.60622,0.58528894,70.715958
25508770.5,0.77257603,86.898392,0.0010451641,-67.91259,0.29852831,-118.5267,0.59069002,67.970001
26008766,0.77031565,81.702034,0.0012648805,-165.35959,0.37744483,-155.94597,0.59592003,59.818047
26508761.5,0.7687158,76.759987,0.00052232004,137.62555,0.34539685,-128.51425,0.58286434,56.493839
27008757,0.76580614,71.916908,0.0008578407,-79.150803,0.37301046,-149.44241,0.61903447,49.742928
27508752.5,0.76230496,66.443657,0.0010858892,60.495647,0.61039954,-143.22551,0.63226813,45.557507
28008748,0.75927138,61.632034,0.00019632322,163.50194,0.38213745,-149.24275,0.60215634,46.448425
28508743.5,0.75080484,56.605923,0.0014583268,-20.260374,0.56646746,-162.84019,0.63015562,42.396301
29008739,0.755211,51.991795,0.00027241991,88.814461,0.71587634,-148.81187,0.56605273,36.616356
29508734.5,0.75454432,46.452305,0.00097650493,-175.82935,0.84036833,-146.80943,0.58315456,34.341469
30008730,0.745713,41.449665,0.0015193195,-56.696884,0.71345055,-158.24872,0.58213902,28.606321
30508725.5,0.74655861,36.269413,0.00059684028,62.88052,1.0073057,-171.79503,0.58383763,23.231026
31008721,0.74502724,31.257378,0.001119739,-5.0359721,1.1694206,-152.23402,0.5374133,36.470726
31508716.5,0.74117351,26.254974,0.00085524219,-141.38493,1.5199825,174.63412,0.60157394,28.162352
32008712,0.74215674,20.411394,0.00080975925,161.78705,1.8249725,171.03778,0.50831842,12.67075
32508707.5,0.73167437,16.441793,0.0010536173,-178.71048,1.2600721,157.14529,0.54094356,10.440845
33008703,0.72955018,10.604465,0.0011035514,118.99928,1.8509617,157.8656,0.55538982,7.533669
33508698.5,0.73176128,5.6643333,0.0015261098,81.828705,1.9550985,143.7672,0.53480357,6.9212036
34008694,0.7297945,-0.1713917,0.00091107591,-127.08746,2.8655617,155.73129,0.58665723,2.4471271
34508689.5,0.72035313,-4.9918127,0.0020750847,101.29424,2.4504766,145.23587,0.53559679,-15.793745
35008685,0.7192058,-10.58339,0.00070504297,-109.69761,3.5731483,129.84386,0.5550487,-20.832073
35508680.5,0.71030438,-15.592868,0.001513045,-21.970772,3.8481226,140.27554,0.51088399,1.8516376
