!CSV A.01.01
!Keysight Technologies,E5080B,MY59100151,A.13.70.02
!Date: Wednesday, April 01, 2020 17:38:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
9000,0.99924469,0.53583777,0.0023305935,92.28463,0.0037190465,-39.695724,0.99668044,0.78116989
508995.5,0.99903655,-5.8226724,0.0038899188,-107.39188,0.01591582,-56.302948,0.99175698,-8.7807379
1008991,0.99656254,-11.250418,0.003411334,-22.969645,0.016327616,-15.146336,0.97448659,-15.839484
1508986.5,0.99384272,-16.695112,0.0014832914,24.424435,0.034674227,25.232454,0.95599294,-23.323471
2008982,1.0005397,-22.069056,0.0012805464,142.42398,0.023283962,130.25575,0.99175233,-30.921526
2508977.5,0.99388671,-27.879856,0.00043176214,-8.9209862,0.010907533,-52.717659,0.99416649,-40.413235
3008973,0.99303895,-33.435665,0.0014076571,-116.98397,0.027762761,-19.873381,0.99535561,-45.334003
3508968.5,0.99407989,-38.870785,0.00096500089,-111.33836,0.024724176,-61.964371,0.9543646,-56.044075
4008964,0.99151117,-44.447453,0.0024034448,-155.10037,0.030944688,24.860886,0.92245132,-60.631817
4508959.5,0.98718792,-49.949776,0.00051486882,127.64645,0.017960455,-24.550333,0.92178077,-70.463585
5008955,0.9903695,-55.499664,8.5655258e-005,-99.496597,0.02416216,-131.06482,0.89065152,-75.137985
5508950.5,0.98701012,-61.156551,0.0010459203,-15.857941,0.01640689,44.049152,0.88033152,-83.09124
6008946,0.98242462,-66.694878,0.0007058871,-62.882458,0.015181045,39.889969,0.86225706,-92.331726
6508941.5,0.9773888,-72.564087,0.0012974533,92.252052,0.020613594,-81.194984,0.84381491,-96.952354
7008937,0.9749378,-78.08094,0.0011034906,177.60461,0.016775386,-29.102125,0.82088941,-107.74083
7508932.5,0.96961361,-83.257996,0.00084990007,-129.61874,0.020018315,23.193077,0.84112781,-115.09219
8008928,0.96962762,-89.011368,0.00097386254,-175.12267,0.022951255,34.758579,0.83783931,-120.76337
8508923.5,0.96053714,-94.656021,0.00093241566,-124.35017,0.019487409,-6.1508861,0.79313797,-125.14814
9008919,0.95766211,-100.23745,0.00081261439,-33.465645,0.036999408,-4.264606,0.77929527,-132.367
9508914.5,0.95196599,-105.68127,0.0012525142,-119.59937,0.035073958,-89.448174,0.77371806,-136.23889
10008910,0.94511282,-111.20172,0.00065943674,-165.6152,0.052709077,-6.3013277,0.77040142,-146.50554
10508905.5,0.94313067,-116.86454,0.0013241082,70.631523,0.0055740573,127.67334,0.76190895,-148.52296
11008901,0.93762749,-122.34689,0.00044755219,-25.40518,0.043124005,-81.71566,0.7475577,-156.1179
11508896.5,0.93381637,-127.90539,0.0007942763,-163.66243,0.063930042,29.385029,0.7528826,-163.08867
12008892,0.9285441,-133.4809,0.00055194588,-171.31131,0.030029358,-7.572741,0.73048526,-166.34464
12508887.5,0.92311335,-139.03053,0.00041393636,-51.404095,0.051299702,8.0141687,0.73272491,-173.59274
13008883,0.91717684,-144.61542,0.00043529979,26.712214,0.025439739,4.3200121,0.70925844,-176.44159
13508878.5,0.908261,-150.07721,0.00013886893,-152.21404,0.02356793,28.905413,0.68385345,178.74065
14008874,0.90431958,-155.56186,0.00074882014,102.54204,0.053512111,-89.846191,0.68350655,175.39093
14508869.5,0.89482665,-160.98134,0.00052586017,-152.1169,0.074630871,-52.991459,0.67244393,164.06769
15008865,0.88904893,-166.44102,0.00037662112,98.523148,0.091371924,6.5502238,0.66093469,159.25647
15508860.5,0.88174045,-171.86154,0.0012499354,116.01948,0.029612826,-45.173687,0.63739204,153.59462
16008856,0.87588876,-177.15848,0.0005173838,-74.438026,0.078689948,-20.04287,0.63256127,151.1861
16508851.5,0.86904317,177.40903,0.00076621113,-129.91254,0.076951869,-98.463142,0.63432527,147.44673
17008847,0.86255378,172.22469,0.00033883023,-83.631676,0.12944138,-89.93634,0.62570316,139.20903
17508842.5,0.85529011,166.99249,0.0011904434,97.923431,0.17595018,-89.744148,0.63896716,138.2758
18008838,0.84966028,161.74854,0.0011573671,178.29329,0.10260046,-92.925621,0.68115723,130.62733
18508833.5,0.84405679,156.41963,0.00038250288,54.960899,0.16297343,-78.071068,0.64680302,125.96133
19008829,0.83867842,151.47429,0.0011969376,-151.99915,0.088631891,-110.67388,0.60758507,124.28722
19508824.5,0.83579361,146.084,0.00030614043,-120.47425,0.22980608,-121.18463,0.64769047,117.95047
20008820,0.82960927,141.05249,0.00093364477,-150.50592,0.17046121,-114.87502,0.62145793,111.96913
20508815.5,0.82481259,136.02296,0.00029861691,-126.48566,0.15010656,-118.22929,0.63235843,111.52238
21008811,0.81877542,130.98119,0.00065402465,-68.570763,0.26371405,-117.52514,0.60987753,105.3586
